"20MICRONS","20","20 Microns","20 Microns Limited"
"3IINFOTECH","3i","3i Infotech","3i Infotech Limited"
"3MINDIA","3M","3M India","3M India Limited"
"63MOONS","63","63 moons","63 moons technologies","63 moons technologies limited"
"8KMILES","8K","8K Miles","8K Miles Software","8K Miles Software Services","8K Miles Software Services Limited"
"A2ZINFRA","A2Z","A2Z INFRA","A2Z INFRA ENGINEERING","A2Z INFRA ENGINEERING LIMITED"
"AARTIDRUGS","Aarti","Aarti Drugs","Aarti Drugs Limited"
"AARTIIND","Aarti","Aarti Industries","Aarti Industries Limited"
"AARVEEDEN","Aarvee","Aarvee Denims","Aarvee Denims &","Aarvee Denims & Exports","Aarvee Denims & Exports Limited"
"ABAN","Aban","Aban Offshore","Aban Offshore Limited"
"ABB","ABB","ABB India","ABB India Limited"
"ABBOTINDIA","Abbott","Abbott India","Abbott India Limited"
"ABFRL","Aditya","Aditya Birla","Aditya Birla Fashion","Aditya Birla Fashion and","Aditya Birla Fashion and Retail","Aditya Birla Fashion and Retail Limited"
"ABGSHIP","ABG","ABG Shipyard","ABG Shipyard Limited"
"ABIRLANUVO","Aditya","Aditya Birla","Aditya Birla Nuvo","Aditya Birla Nuvo Limited"
"ABMINTLTD","ABM","ABM International","ABM International Limited"
"ACC","ACC","ACC Limited"
"ACCELYA","Accelya","Accelya Kale","Accelya Kale Solutions","Accelya Kale Solutions Limited"
"ACE","Action","Action Construction","Action Construction Equipment","Action Construction Equipment Limited"
"ADANIENT","Adani","Adani Enterprises","Adani Enterprises Limited"
"ADANIPORTS","Adani","Adani Ports","Adani Ports and","Adani Ports and Special","Adani Ports and Special Economic","Adani Ports and Special Economic Zone","Adani Ports and Special Economic Zone Limited"
"ADANIPOWER","Adani","Adani Power","Adani Power Limited"
"ADANITRANS","Adani","Adani Transmission","Adani Transmission Limited"
"ADFFOODS","ADF","ADF Foods","ADF Foods Limited"
"ADHUNIK","Adhunik","Adhunik Metaliks","Adhunik Metaliks Limited"
"ADHUNIKIND","Adhunik","Adhunik Industries","Adhunik Industries Limited"
"ADLABS","Adlabs","Adlabs Entertainment","Adlabs Entertainment Limited"
"ADORWELD","Ador","Ador Welding","Ador Welding Limited"
"ADSL","Allied","Allied Digital","Allied Digital Services","Allied Digital Services Limited"
"ADVANIHOTR","Advani","Advani Hotels","Advani Hotels &","Advani Hotels & Resorts","Advani Hotels & Resorts India","Advani Hotels & Resorts India Limited"
"ADVENZYMES","Advanced","Advanced Enzyme","Advanced Enzyme Technologies","Advanced Enzyme Technologies Limited"
"AEGISCHEM","Aegis","Aegis Logistics","Aegis Logistics Limited"
"AFL","Accel","Accel Frontline","Accel Frontline Limited"
"AGARIND","Agarwal","Agarwal Industrial","Agarwal Industrial Corporation","Agarwal Industrial Corporation Limited"
"AGCNET","AGC","AGC Networks","AGC Networks Limited"
"AGRITECH","Agri-Tech","Agri-Tech India","Agri-Tech India Limited"
"AHLEAST","Asian","Asian Hotels","Asian Hotels East","Asian Hotels East Limited"
"AHLUCONT","Ahluwalia","Ahluwalia Contracts","Ahluwalia Contracts India","Ahluwalia Contracts India Limited"
"AHLWEST","Asian","Asian Hotels","Asian Hotels West","Asian Hotels West Limited"
"AIAENG","AIA","AIA Engineering","AIA Engineering Limited"
"AICHAMP","AI","AI Champdany","AI Champdany Industries","AI Champdany Industries Limited"
"AIFL","Ashapura","Ashapura Intimates","Ashapura Intimates Fashion","Ashapura Intimates Fashion Limited"
"AJANTPHARM","Ajanta","Ajanta Pharma","Ajanta Pharma Limited"
"AJMERA","Ajmera","Ajmera Realty","Ajmera Realty &","Ajmera Realty & Infra","Ajmera Realty & Infra India","Ajmera Realty & Infra India Limited"
"AKSHOPTFBR","Aksh","Aksh Optifibre","Aksh Optifibre Limited"
"AKZOINDIA","Akzo","Akzo Nobel","Akzo Nobel India","Akzo Nobel India Limited"
"ALANKIT","Alankit","Alankit Limited"
"ALBERTDAVD","Albert","Albert David","Albert David Limited"
"ALBK","Allahabad","Allahabad Bank"
"ALCHEM","Alchemist","Alchemist Limited"
"ALEMBICLTD","Alembic","Alembic Limited"
"ALICON","Alicon","Alicon Castalloy","Alicon Castalloy Limited"
"ALKALI","Alkali","Alkali Metals","Alkali Metals Limited"
"ALKEM","Alkem","Alkem Laboratories","Alkem Laboratories Limited"
"ALKYLAMINE","Alkyl","Alkyl Amines","Alkyl Amines Chemicals","Alkyl Amines Chemicals Limited"
"ALLCARGO","Allcargo","Allcargo Logistics","Allcargo Logistics Limited"
"ALLSEC","Allsec","Allsec Technologies","Allsec Technologies Limited"
"ALMONDZ","Almondz","Almondz Global","Almondz Global Securities","Almondz Global Securities Limited"
"ALOKTEXT","Alok","Alok Industries","Alok Industries Limited"
"ALPA","Alpa","Alpa Laboratories","Alpa Laboratories Limited"
"ALPHAGEO","Alphageo","Alphageo India","Alphageo India Limited"
"ALPSINDUS","Alps","Alps Industries","Alps Industries Limited"
"AMARAJABAT","Amara","Amara Raja","Amara Raja Batteries","Amara Raja Batteries Limited"
"AMBIKCO","Ambika","Ambika Cotton","Ambika Cotton Mills","Ambika Cotton Mills Limited"
"AMBUJACEM","Ambuja","Ambuja Cements","Ambuja Cements Limited"
"AMDIND","AMD","AMD Industries","AMD Industries Limited"
"AMRUTANJAN","Amrutanjan","Amrutanjan Health","Amrutanjan Health Care","Amrutanjan Health Care Limited"
"AMTEKAUTO","Amtek","Amtek Auto","Amtek Auto Limited"
"AMTL","Advance","Advance Metering","Advance Metering Technology","Advance Metering Technology Limited"
"ANANDAMRUB","The","The Anandam","The Anandam Rubber","The Anandam Rubber Company","The Anandam Rubber Company Limited"
"ANANTRAJ","Anant","Anant Raj","Anant Raj Limited"
"ANDHRABANK","Andhra","Andhra Bank"
"ANDHRACEMT","Andhra","Andhra Cements","Andhra Cements Limited"
"ANDHRSUGAR","The","The Andhra","The Andhra Sugars","The Andhra Sugars Limited"
"ANGIND","ANG","ANG Industries","ANG Industries Limited"
"ANIKINDS","Anik","Anik Industries","Anik Industries Limited"
"ANKITMETAL","Ankit","Ankit Metal","Ankit Metal &","Ankit Metal & Power","Ankit Metal & Power Limited"
"ANSALAPI","Ansal","Ansal Properties","Ansal Properties &","Ansal Properties & Infrastructure","Ansal Properties & Infrastructure Limited"
"ANSALHSG","Ansal","Ansal Housing","Ansal Housing and","Ansal Housing and Construction","Ansal Housing and Construction Limited"
"ANTGRAPHIC","Antarctica","Antarctica Limited"
"APARINDS","Apar","Apar Industries","Apar Industries Limited"
"APCOTEXIND","Apcotex","Apcotex Industries","Apcotex Industries Limited"
"APLAPOLLO","APL","APL Apollo","APL Apollo Tubes","APL Apollo Tubes Limited"
"APLLTD","Alembic","Alembic Pharmaceuticals","Alembic Pharmaceuticals Limited"
"APOLLOHOSP","Apollo","Apollo Hospitals","Apollo Hospitals Enterprise","Apollo Hospitals Enterprise Limited"
"APOLLOTYRE","Apollo","Apollo Tyres","Apollo Tyres Limited"
"APOLSINHOT","Apollo","Apollo Sindoori","Apollo Sindoori Hotels","Apollo Sindoori Hotels Limited"
"APTECHT","Aptech","Aptech Limited"
"ARCHIDPLY","Archidply","Archidply Industries","Archidply Industries Limited"
"ARCHIES","Archies","Archies Limited"
"ARCOTECH","Arcotech","Arcotech Limited"
"ARIES","Aries","Aries Agro","Aries Agro Limited"
"ARIHANT","Arihant","Arihant Foundations","Arihant Foundations &","Arihant Foundations & Housing","Arihant Foundations & Housing Limited"
"ARMANFIN","Arman","Arman Financial","Arman Financial Services","Arman Financial Services Limited"
"AROGRANITE","Aro","Aro Granite","Aro Granite Industries","Aro Granite Industries Limited"
"ARROWGREEN","Arrow","Arrow Greentech","Arrow Greentech Limited"
"ARROWTEX","Arrow","Arrow Textiles","Arrow Textiles Limited"
"ARSHIYA","Arshiya","Arshiya Limited"
"ARSSINFRA","ARSS","ARSS Infrastructure","ARSS Infrastructure Projects","ARSS Infrastructure Projects Limited"
"ARVIND","Arvind","Arvind Limited"
"ARVSMART","Arvind","Arvind SmartSpaces","Arvind SmartSpaces Limited"
"ASAHIINDIA","Asahi","Asahi India","Asahi India Glass","Asahi India Glass Limited"
"ASAHISONG","Asahi","Asahi Songwon","Asahi Songwon Colors","Asahi Songwon Colors Limited"
"ASAL","Automotive","Automotive Stampings","Automotive Stampings and","Automotive Stampings and Assemblies","Automotive Stampings and Assemblies Limited"
"ASHAPURMIN","Ashapura","Ashapura Minechem","Ashapura Minechem Limited"
"ASHIANA","Ashiana","Ashiana Housing","Ashiana Housing Limited"
"ASHIMASYN","Ashima","Ashima Limited"
"ASHOKA","Ashoka","Ashoka Buildcon","Ashoka Buildcon Limited"
"ASHOKLEY","Ashok","Ashok Leyland","Ashok Leyland Limited"
"ASIANHOTNR","Asian","Asian Hotels","Asian Hotels North","Asian Hotels North Limited"
"ASIANPAINT","Asian","Asian Paints","Asian Paints Limited"
"ASIANTILES","Asian","Asian Granito","Asian Granito India","Asian Granito India Limited"
"ASIL","Amit","Amit Spinning","Amit Spinning Industries","Amit Spinning Industries Limited"
"ASPINWALL","Aspinwall","Aspinwall and","Aspinwall and Company","Aspinwall and Company Limited"
"ASSAMCO","Assam","Assam Company","Assam Company India","Assam Company India Limited"
"ASTEC","Astec","Astec LifeSciences","Astec LifeSciences Limited"
"ASTRAL","Astral","Astral Poly","Astral Poly Technik","Astral Poly Technik Limited"
"ASTRAMICRO","Astra","Astra Microwave","Astra Microwave Products","Astra Microwave Products Limited"
"ASTRAZEN","AstraZeneca","AstraZeneca Pharma","AstraZeneca Pharma India","AstraZeneca Pharma India Limited"
"ATFL","Agro","Agro Tech","Agro Tech Foods","Agro Tech Foods Limited"
"ATLANTA","Atlanta","Atlanta Limited"
"ATLASCYCLE","Atlas","Atlas Cycles","Atlas Cycles Haryana","Atlas Cycles Haryana Limited"
"ATNINTER","ATN","ATN International","ATN International Limited"
"ATUL","Atul","Atul Limited"
"ATULAUTO","Atul","Atul Auto","Atul Auto Limited"
"AURIONPRO","Aurionpro","Aurionpro Solutions","Aurionpro Solutions Limited"
"AUROPHARMA","Aurobindo","Aurobindo Pharma","Aurobindo Pharma Limited"
"AUSOMENT","Ausom","Ausom Enterprise","Ausom Enterprise Limited"
"AUSTRAL","Austral","Austral Coke","Austral Coke &","Austral Coke & Projects","Austral Coke & Projects Limited"
"AUTOAXLES","Automotive","Automotive Axles","Automotive Axles Limited"
"AUTOIND","Autoline","Autoline Industries","Autoline Industries Limited"
"AUTOLITIND","Autolite","Autolite India","Autolite India Limited"
"AVANTIFEED","Avanti","Avanti Feeds","Avanti Feeds Limited"
"AVTNPL","AVT","AVT Natural","AVT Natural Products","AVT Natural Products Limited"
"AXISBANK","Axis","Axis Bank","Axis Bank Limited"
"AXISCADES","AXISCADES","AXISCADES Engineering","AXISCADES Engineering Technologies","AXISCADES Engineering Technologies Limited"
"AYMSYNTEX","AYM","AYM Syntex","AYM Syntex Limited"
"BAFNAPHARM","Bafna","Bafna Pharmaceuticals","Bafna Pharmaceuticals Limited"
"BAGFILMS","B.A.G","B.A.G Films","B.A.G Films and","B.A.G Films and Media","B.A.G Films and Media Limited"
"BAJAJ-AUTO","Bajaj","Bajaj Auto","Bajaj Auto Limited"
"BAJAJCORP","Bajaj","Bajaj Corp","Bajaj Corp Limited"
"BAJAJELEC","Bajaj","Bajaj Electricals","Bajaj Electricals Limited"
"BAJAJFINSV","Bajaj","Bajaj Finserv","Bajaj Finserv Limited"
"BAJAJHIND","Bajaj","Bajaj Hindusthan","Bajaj Hindusthan Sugar","Bajaj Hindusthan Sugar Limited"
"BAJAJHLDNG","Bajaj","Bajaj Holdings","Bajaj Holdings &","Bajaj Holdings & Investment","Bajaj Holdings & Investment Limited"
"BAJFINANCE","Bajaj","Bajaj Finance","Bajaj Finance Limited"
"BALAJITELE","Balaji","Balaji Telefilms","Balaji Telefilms Limited"
"BALAMINES","Balaji","Balaji Amines","Balaji Amines Limited"
"BALKRISHNA","Balkrishna","Balkrishna Paper","Balkrishna Paper Mills","Balkrishna Paper Mills Limited"
"BALKRISIND","Balkrishna","Balkrishna Industries","Balkrishna Industries Limited"
"BALLARPUR","Ballarpur","Ballarpur Industries","Ballarpur Industries Limited"
"BALMLAWRIE","Balmer","Balmer Lawrie","Balmer Lawrie &","Balmer Lawrie & Company","Balmer Lawrie & Company Limited"
"BALPHARMA","Bal","Bal Pharma","Bal Pharma Limited"
"BALRAMCHIN","Balrampur","Balrampur Chini","Balrampur Chini Mills","Balrampur Chini Mills Limited"
"BANARBEADS","Banaras","Banaras Beads","Banaras Beads Limited"
"BANARISUG","Bannari","Bannari Amman","Bannari Amman Sugars","Bannari Amman Sugars Limited"
"BANCOINDIA","Banco","Banco Products","Banco Products I","Banco Products I Limited"
"BANG","Bang","Bang Overseas","Bang Overseas Limited"
"BANKBARODA","Bank","Bank of","Bank of Baroda"
"BANKINDIA","Bank","Bank of","Bank of India"
"BANSWRAS","Banswara","Banswara Syntex","Banswara Syntex Limited"
"BARTRONICS","Bartronics","Bartronics India","Bartronics India Limited"
"BASF","BASF","BASF India","BASF India Limited"
"BASML","Bannari","Bannari Amman","Bannari Amman Spinning","Bannari Amman Spinning Mills","Bannari Amman Spinning Mills Limited"
"BATAINDIA","Bata","Bata India","Bata India Limited"
"BAYERCROP","Bayer","Bayer Cropscience","Bayer Cropscience Limited"
"BBL","Bharat","Bharat Bijlee","Bharat Bijlee Limited"
"BBTC","Bombay","Bombay Burmah","Bombay Burmah Trading","Bombay Burmah Trading Corporation","Bombay Burmah Trading Corporation Limited"
"BEARDSELL","Beardsell","Beardsell Limited"
"BEDMUTHA","Bedmutha","Bedmutha Industries","Bedmutha Industries Limited"
"BEL","Bharat","Bharat Electronics","Bharat Electronics Limited"
"BEML","BEML","BEML Limited"
"BEPL","Bhansali","Bhansali Engineering","Bhansali Engineering Polymers","Bhansali Engineering Polymers Limited"
"BERGEPAINT","Berger","Berger Paints","Berger Paints I","Berger Paints I Limited"
"BFINVEST","BF","BF Investment","BF Investment Limited"
"BFUTILITIE","BF","BF Utilities","BF Utilities Limited"
"BGLOBAL","Bharatiya","Bharatiya Global","Bharatiya Global Infomedia","Bharatiya Global Infomedia Limited"
"BGRENERGY","BGR","BGR Energy","BGR Energy Systems","BGR Energy Systems Limited"
"BHAGERIA","Bhageria","Bhageria Industries","Bhageria Industries Limited"
"BHAGYNAGAR","Bhagyanagar","Bhagyanagar India","Bhagyanagar India Limited"
"BHANDARI","Bhandari","Bhandari Hosiery","Bhandari Hosiery Exports","Bhandari Hosiery Exports Limited"
"BHARATFIN","Bharat","Bharat Financial","Bharat Financial Inclusion","Bharat Financial Inclusion Limited"
"BHARATFORG","Bharat","Bharat Forge","Bharat Forge Limited"
"BHARATGEAR","Bharat","Bharat Gears","Bharat Gears Limited"
"BHARATIDIL","Bharati","Bharati Defence","Bharati Defence and","Bharati Defence and Infrastructure","Bharati Defence and Infrastructure Limited"
"BHARATRAS","Bharat","Bharat Rasayan","Bharat Rasayan Limited"
"BHARATWIRE","Bharat","Bharat Wire","Bharat Wire Ropes","Bharat Wire Ropes Limited"
"BHARTIARTL","Bharti","Bharti Airtel","Bharti Airtel Limited"
"BHEL","Bharat","Bharat Heavy","Bharat Heavy Electricals","Bharat Heavy Electricals Limited"
"BHUSANSTL","Bhushan","Bhushan Steel","Bhushan Steel Limited"
"BIGBLOC","Bigbloc","Bigbloc Construction","Bigbloc Construction Limited"
"BIL","Bhartiya","Bhartiya International","Bhartiya International Limited"
"BILENERGY","Bil","Bil Energy","Bil Energy Systems","Bil Energy Systems Limited"
"BILPOWER","Bilpower","Bilpower Limited"
"BINANIIND","Binani","Binani Industries","Binani Industries Limited"
"BINDALAGRO","Oswal","Oswal Chemicals","Oswal Chemicals &","Oswal Chemicals & Fertilizers","Oswal Chemicals & Fertilizers Limited"
"BIOCON","Biocon","Biocon Limited"
"BIRLACABLE","Birla","Birla Cable","Birla Cable Limited"
"BIRLACORPN","Birla","Birla Corporation","Birla Corporation Limited"
"BIRLACOT","Birla","Birla Cotsyn","Birla Cotsyn India","Birla Cotsyn India Limited"
"BIRLAMONEY","Aditya","Aditya Birla","Aditya Birla Money","Aditya Birla Money Limited"
"BLBLIMITED","BLB","BLB Limited"
"BLISSGVS","Bliss","Bliss GVS","Bliss GVS Pharma","Bliss GVS Pharma Limited"
"BLKASHYAP","B.","B. L.","B. L. Kashyap","B. L. Kashyap and","B. L. Kashyap and Sons","B. L. Kashyap and Sons Limited"
"BLS","BLS","BLS International","BLS International Services","BLS International Services Limited"
"BLUEBLENDS","Blue","Blue Blends","Blue Blends I","Blue Blends I Limited"
"BLUECHIP","Blue","Blue Chip","Blue Chip India","Blue Chip India Limited"
"BLUECOAST","Blue","Blue Coast","Blue Coast Hotels","Blue Coast Hotels Limited"
"BLUEDART","Blue","Blue Dart","Blue Dart Express","Blue Dart Express Limited"
"BLUESTARCO","Blue","Blue Star","Blue Star Limited"
"BODALCHEM","Bodal","Bodal Chemicals","Bodal Chemicals Limited"
"BOMDYEING","Bombay","Bombay Dyeing","Bombay Dyeing &","Bombay Dyeing & Mfg","Bombay Dyeing & Mfg Company","Bombay Dyeing & Mfg Company Limited"
"BOSCHLTD","Bosch","Bosch Limited"
"BPCL","Bharat","Bharat Petroleum","Bharat Petroleum Corporation","Bharat Petroleum Corporation Limited"
"BPL","BPL","BPL Limited"
"BRFL","Bombay","Bombay Rayon","Bombay Rayon Fashions","Bombay Rayon Fashions Limited"
"BRIGADE","Brigade","Brigade Enterprises","Brigade Enterprises Limited"
"BRITANNIA","Britannia","Britannia Industries","Britannia Industries Limited"
"BROOKS","Brooks","Brooks Laboratories","Brooks Laboratories Limited"
"BSELINFRA","BSEL","BSEL Infrastructure","BSEL Infrastructure Realty","BSEL Infrastructure Realty Limited"
"BSL","BSL","BSL Limited"
"BSLIMITED","BS","BS LIMITED"
"BURNPUR","Burnpur","Burnpur Cement","Burnpur Cement Limited"
"BUTTERFLY","Butterfly","Butterfly Gandhimathi","Butterfly Gandhimathi Appliances","Butterfly Gandhimathi Appliances Limited"
"BVCL","Barak","Barak Valley","Barak Valley Cements","Barak Valley Cements Limited"
"BYKE","The","The Byke","The Byke Hospitality","The Byke Hospitality Ltd"
"CADILAHC","Cadila","Cadila Healthcare","Cadila Healthcare Limited"
"CAIRN","Cairn","Cairn India","Cairn India Limited"
"CALSOFT","California","California Software","California Software Company","California Software Company Limited"
"CALSOFT","California","California Software","California Software Company","California Software Company Limited"
"CAMLINFINE","Camlin","Camlin Fine","Camlin Fine Sciences","Camlin Fine Sciences Limited"
"CANBK","Canara","Canara Bank"
"CANDC","C","C &","C & C","C & C Constructions","C & C Constructions Limited"
"CANFINHOME","Can","Can Fin","Can Fin Homes","Can Fin Homes Limited"
"CANTABIL","Cantabil","Cantabil Retail","Cantabil Retail India","Cantabil Retail India Limited"
"CAPF","Capital","Capital First","Capital First Limited"
"CAPLIPOINT","Caplin","Caplin Point","Caplin Point Laboratories","Caplin Point Laboratories Limited"
"CAPTRUST","Capital","Capital Trust","Capital Trust Limited"
"CARBORUNIV","Carborundum","Carborundum Universal","Carborundum Universal Limited"
"CAREERP","Career","Career Point","Career Point Limited"
"CARERATING","Credit","Credit Analysis","Credit Analysis And","Credit Analysis And Research","Credit Analysis And Research Limited"
"CASTEXTECH","Castex","Castex Technologies","Castex Technologies Limited"
"CASTROLIND","Castrol","Castrol India","Castrol India Limited"
"CCCL","Consolidated","Consolidated Construction","Consolidated Construction Consortium","Consolidated Construction Consortium Limited"
"CCHHL","Country","Country Club","Country Club Hospitality","Country Club Hospitality &","Country Club Hospitality & Holidays","Country Club Hospitality & Holidays Limited"
"CCL","CCL","CCL Products","CCL Products India","CCL Products India Limited"
"CEATLTD","CEAT","CEAT Limited"
"CEBBCO","Commercial","Commercial Engineers","Commercial Engineers &","Commercial Engineers & Body","Commercial Engineers & Body Builders","Commercial Engineers & Body Builders Co","Commercial Engineers & Body Builders Co Limited"
"CELEBRITY","Celebrity","Celebrity Fashions","Celebrity Fashions Limited"
"CELESTIAL","Celestial","Celestial Biolabs","Celestial Biolabs Limited"
"CENTENKA","Century","Century Enka","Century Enka Limited"
"CENTEXT","Century","Century Extrusions","Century Extrusions Limited"
"CENTRALBK","Central","Central Bank","Central Bank of","Central Bank of India"
"CENTUM","Centum","Centum Electronics","Centum Electronics Limited"
"CENTURYPLY","Century","Century Plyboards","Century Plyboards India","Century Plyboards India Limited"
"CENTURYTEX","Century","Century Textiles","Century Textiles &","Century Textiles & Industries","Century Textiles & Industries Limited"
"CERA","Cera","Cera Sanitaryware","Cera Sanitaryware Limited"
"CEREBRAINT","Cerebra","Cerebra Integrated","Cerebra Integrated Technologies","Cerebra Integrated Technologies Limited"
"CESC","CESC","CESC Limited"
"CGCL","Capri","Capri Global","Capri Global Capital","Capri Global Capital Limited"
"CHAMBLFERT","Chambal","Chambal Fertilizers","Chambal Fertilizers &","Chambal Fertilizers & Chemicals","Chambal Fertilizers & Chemicals Limited"
"CHEMFALKAL","Chemfab","Chemfab Alkalis","Chemfab Alkalis Limited"
"CHENNPETRO","Chennai","Chennai Petroleum","Chennai Petroleum Corporation","Chennai Petroleum Corporation Limited"
"CHOLAFIN","Cholamandalam","Cholamandalam Investment","Cholamandalam Investment and","Cholamandalam Investment and Finance","Cholamandalam Investment and Finance Company","Cholamandalam Investment and Finance Company Limited"
"CHROMATIC","Chromatic","Chromatic India","Chromatic India Limited"
"CIGNITITEC","Cigniti","Cigniti Technologies","Cigniti Technologies Limited"
"CIMMCO","Cimmco","Cimmco Limited"
"CINELINE","Cineline","Cineline India","Cineline India Limited"
"CINEVISTA","Cinevista","Cinevista Limited"
"CIPLA","Cipla","Cipla Limited"
"CLNINDIA","Clariant","Clariant Chemicals","Clariant Chemicals India","Clariant Chemicals India Limited"
"CMICABLES","CMI","CMI Limited"
"CNOVAPETRO","CIL","CIL Nova","CIL Nova Petrochemicals","CIL Nova Petrochemicals Limited"
"COALINDIA","Coal","Coal India","Coal India Limited"
"COFFEEDAY","Coffee","Coffee Day","Coffee Day Enterprises","Coffee Day Enterprises Limited"
"COLPAL","Colgate","Colgate Palmolive","Colgate Palmolive India","Colgate Palmolive India Limited"
"COMPINFO","Compuage","Compuage Infocom","Compuage Infocom Limited"
"COMPUSOFT","Compucom","Compucom Software","Compucom Software Limited"
"CONCOR","Container","Container Corporation","Container Corporation of","Container Corporation of India","Container Corporation of India Limited"
"CONSOFINVT","Consolidated","Consolidated Finvest","Consolidated Finvest &","Consolidated Finvest & Holdings","Consolidated Finvest & Holdings Limited"
"CONTROLPR","Control","Control Print","Control Print Limited"
"CORDSCABLE","Cords","Cords Cable","Cords Cable Industries","Cords Cable Industries Limited"
"COROMANDEL","Coromandel","Coromandel International","Coromandel International Limited"
"CORPBANK","Corporation","Corporation Bank"
"COSMOFILMS","Cosmo","Cosmo Films","Cosmo Films Limited"
"COUNCODOS","Country","Country Condo's","Country Condo's Limited"
"COX&KINGS","Cox","Cox &","Cox & Kings","Cox & Kings Limited"
"CREATIVEYE","Creative","Creative Eye","Creative Eye Limited"
"CREST","Crest","Crest Ventures","Crest Ventures Limited"
"CRISIL","CRISIL","CRISIL Limited"
"CROMPGREAV","Crompton","Crompton Greaves","Crompton Greaves Limited"
